Fecha;Aceites lubricantes;Asfalto ;Bunker;Ceras;Combustible turbo jet;Diesel bajo azufre;Diesel ultra bajo azufre;Gas licuado de petróleo;Gasolina de aviación;Gasolina regular;Gasolina superior;Grasas lubricantes;Kerosina;Mezclas oleosas;Naftas;Petcoke;Petróleo crudo;Solventes;Butano;Diesel alto azufre;MTBE;Orimulsión;Petróleo reconstituido;Total importación
ene-12;0;13,869.74;192,178.43;0;0;0;0;481,781.48;0;318,283.44;434,648.17;0;27,960.80;0;0;332,101.50;0;0;0;790,123.23;0;0;0;2,590,946.78
feb-12;0;5,723.19;56,299.00;0;0;0;0;162,561.29;2,220.00;253,583.96;372,893.49;0;75,397.69;0;0;167,575.16;0;0;0;887,963.98;0;0;0;1,984,217.75
mar-12;0;16,175.69;486,502.56;0;0;0;0;521,493.74;0;255,492.16;354,160.85;0;40,494.61;0;0;0;0;0;0;978,693.29;0;0;0;2,653,012.90
abr-12;0;8,865.02;424,997.52;0;0;0;0;131,958.40;2,646.00;189,948.79;399,701.69;0;21,732.04;0;0;0;0;0;0;697,871.28;0;0;0;1,877,720.75
may-12;0;12,714.50;427,414.42;0;0;0;0;510,506.81;1,551.00;241,786.29;380,531.85;0;70,939.56;0;0;169,754.09;0;0;0;833,370.09;0;0;0;2,648,568.61
jun-12;0;5,405.19;490,228.51;0;0;0;0;527,672.26;1,870.00;320,566.69;550,379.33;0;47,391.70;0;0;0;0;0;0;767,124.65;0;0;0;2,710,638.33
jul-12;0;11,297.69;293,113.09;0;0;0;0;165,424.21;0;142,232.47;271,509.20;0;70,228.77;0;0;0;0;0;0;1,021,995.90;0;0;0;1,975,801.33
ago-12;0;13,907.62;76,969.26;0;0;0;0;387,892.07;0;263,677.23;361,307.20;0;65,574.80;0;0;148,916.30;0;0;0;626,706.23;0;0;0;1,944,950.71
sep-12;0;6,813.86;323,767.51;0;0;0;0;530,897.79;2,766.00;201,347.56;372,989.29;0;56,595.70;0;0;0;0;0;0;619,651.27;0;0;0;2,114,828.97
oct-12;0;2,242.12;378,149.37;0;0;0;0;162,208.43;0;374,301.51;600,094.03;0;33,639.00;0;0;0;0;0;0;463,054.77;0;0;0;2,013,689.23
nov-12;0;0;456,468.18;0;0;0;0;569,345.86;2,651.00;197,398.80;359,818.54;0;37,111.56;0;0;147,071.21;0;0;0;538,552.89;0;0;0;2,308,418.04
dic-12;0;0;273,182.16;0;0;0;0;152,926.76;95.2;287,980.58;419,029.17;0;43,950.37;0;0;149,085.15;0;0;0;1,324,780.96;0;0;0;2,651,030.35
ene-13;0;0;361,207.18;0;0;0;0;575,318.45;190.48;396,416.84;433,924.69;0;57,437.01;0;0;150,030.49;0;0;0;749,266.68;0;0;0;2,723,791.82
feb-13;0;0;325,080.10;0;0;0;0;142,772.81;1,047.62;235,502.58;470,483.98;0;55,641.80;0;0;168,305.17;0;0;0;709,843.02;0;0;0;2,108,677.08
mar-13;0;3,879.00;231,802.56;0;0;0;0;569,013.24;3,183.88;439,386.62;429,974.17;0;19,570.11;0;0;0;0;0;0;832,627.57;0;0;0;2,529,437.15
abr-13;0;0;337,655.21;0;0;0;0;508,649.45;0;274,680.65;430,259.18;0;50,291.42;0;0;0;0;0;0;860,094.78;0;0;0;2,461,630.69
may-13;0;0;331,393.56;0;0;0;0;181,461.60;797.62;281,823.20;532,379.66;0;73,024.85;0;0;180,944.23;0;0;0;1,202,187.85;0;0;0;2,784,012.56
jun-13;0;34,302.05;365,997.74;0;0;0;0;536,847.17;1,196.47;293,808.60;284,038.03;0;75,416.48;0;0;167,235.48;0;0;0;729,711.88;0;0;0;2,488,553.89
jul-13;0;0;113,165.55;0;0;0;0;352,909.02;795.59;259,025.83;486,075.06;0;60,089.40;0;0;0;0;0;0;693,160.50;0;0;0;1,965,220.95
ago-13;0;0;405,352.22;0;0;0;0;359,346.00;3,677.00;221,433.20;347,066.11;0;58,972.06;0;0;146,366.33;0;0;0;505,133.44;0;0;0;2,047,346.36
sep-13;0;305;172,130.08;0;0;0;0;394,985.89;0;300,794.99;373,303.31;0;83,693.28;0;0;172,152.59;0;0;0;803,626.98;0;0;0;2,300,992.12
oct-13;0;889;171,722.79;0;0;0;0;415,869.34;3,626.98;281,168.85;372,946.33;0;133,623.60;0;0;0;0;0;0;980,327.98;0;0;0;2,360,174.87
nov-13;0;152;202,139.43;0;0;0;0;425,669.24;797.21;390,941.15;496,029.72;0;5,319.12;0;0;169,752.50;0;0;0;903,218.47;0;0;0;2,594,018.83
