Fecha;Aceites lubricantes;Asfalto;Bunker;Ceras;Combustible turbo jet;Diesel bajo azufre;Diesel ultra bajo azufre;Gas licuado de petróleo;Gasolina de aviación;Gasolina regular;Gasolina superior;Grasas lubricantes;Kerosina;"Mezclas
oleosas";Naftas;PetCoke;Petróleo crudo;Solventes;Butano;Diesel alto azufre;Orimulsión;Total
may/2005;0.00;40,536.60;506,432.44;0.00;36,827.20;0.00;0.00;230,568.15;1,335.00;187,048.26;343,762.52;0.00;6,820.90;0.00;0.00;129,277.50;55,515.00;0.00;0.00;715,360.44;167,907.00;2,421,391.01
jun/2005;0.00;39,064.02;562,186.30;0.00;44,188.10;0.00;0.00;223,151.26;1,412.00;202,161.79;351,906.82;0.00;8,013.70;0.00;0.00;69,657.50;55,190.00;0.00;0.00;681,743.36;166,798.00;2,405,472.85
jul/2005;0.00;34,049.77;334,178.36;0.00;50,690.50;0.00;0.00;236,140.08;1,678.00;213,821.77;389,172.65;0.00;5,335.40;0.00;0.00;64,702.00;50,986.00;0.00;0.00;678,614.47;122,064.00;2,181,433.00
ago/2005;0.00;29,237.36;305,370.13;0.00;47,309.30;0.00;0.00;242,734.74;1,106.00;212,696.38;396,871.12;0.00;8,509.90;0.00;0.00;86,713.00;61,600.00;0.00;0.00;693,681.13;158,944.00;2,244,773.06
sep/2005;0.00;26,273.57;238,571.81;0.00;40,131.20;0.00;0.00;223,283.87;1,309.00;196,776.87;378,887.62;0.00;5,904.70;0.00;0.00;87,345.50;11,689.00;0.00;0.00;666,258.37;103,761.00;1,980,192.51
oct/2005;0.00;5,405.34;230,464.40;0.00;49,322.50;0.00;0.00;213,139.58;996.00;192,270.24;328,052.56;0.00;7,862.90;0.00;0.00;84,210.50;7,770.00;0.00;0.00;589,830.24;91,025.00;1,800,349.26
nov/2005;0.00;13,712.31;302,297.60;0.00;23,955.90;0.00;0.00;222,988.53;1,624.00;185,251.12;360,869.14;0.00;7,266.30;0.00;0.00;77,429.00;35,384.00;0.00;0.00;701,255.47;183,012.00;2,115,045.37
dic/2005;0.00;25,971.31;285,933.09;0.00;50,005.00;0.00;0.00;225,410.43;1,457.00;241,035.13;448,688.52;0.00;8,298.30;0.00;0.00;99,434.50;51,257.00;0.00;0.00;775,027.20;163,364.00;2,375,881.48
ene/2006;0.00;26,454.21;271,228.13;0.00;45,851.00;0.00;0.00;217,867.31;1,307.00;211,152.72;382,078.88;0.00;7,111.60;0.00;0.00;98,549.00;38,294.00;0.00;0.00;750,946.36;163,706.00;2,214,546.21
feb/2006;0.00;33,494.00;228,414.98;0.00;43,198.90;0.00;0.00;212,328.61;1,735.00;200,551.40;367,944.25;0.00;6,390.90;0.00;0.00;101,057.00;43,150.00;0.00;0.00;734,530.76;152,377.00;2,125,172.80
mar/2006;0.00;48,745.00;338,067.89;0.00;45,311.90;0.00;0.00;232,405.36;1,585.00;233,082.86;427,567.58;0.00;7,416.60;0.00;0.00;82,582.50;29,621.00;0.00;0.00;875,047.29;151,247.00;2,472,679.98
abr/2006;0.00;36,478.00;445,994.72;0.00;44,322.20;0.00;0.00;207,612.27;1,497.00;223,479.45;392,050.29;0.00;8,600.50;0.00;0.00;89,331.00;59,859.00;0.00;0.00;711,185.23;29,039.00;2,249,448.66
may/2006;0.00;40,882.00;628,053.53;0.00;44,047.10;0.00;0.00;232,489.83;1,400.00;222,710.90;379,832.55;0.00;6,151.30;0.00;0.00;96,222.50;29,498.00;0.00;0.00;734,289.15;0.00;2,415,576.86
jun/2006;0.00;22,806.00;399,380.67;0.00;42,531.90;0.00;0.00;236,563.83;1,362.00;196,511.22;364,359.35;0.00;3,720.30;0.00;0.00;101,684.00;30,854.00;0.00;0.00;672,428.87;0.00;2,072,202.14
jul/2006;0.00;34,461.58;408,695.20;0.00;43,381.80;0.00;0.00;239,767.85;1,552.00;210,255.70;392,252.91;0.00;6,128.60;0.00;0.00;97,361.00;59,117.27;0.00;0.00;684,438.70;0.00;2,177,412.61
ago/2006;0.00;29,068.07;412,953.69;0.00;44,489.50;0.00;0.00;245,672.02;1,942.00;211,202.14;394,585.28;0.00;7,918.70;0.00;0.00;89,875.50;42,171.03;0.00;0.00;707,219.69;1,471.00;2,188,568.62
sep/2006;0.00;22,311.30;283,514.35;0.00;37,449.20;0.00;0.00;256,040.10;1,576.00;204,369.99;382,724.97;0.00;6,691.20;0.00;0.00;111,782.00;39,823.10;0.00;0.00;650,791.38;0.00;1,997,073.59
